CTYDIST,ELEMDIST,DNAME,DCOUNTY,DSUPAREA,DPYC,DPYAV,DPYTATL,DPHONE,DFAX,DELEMSN,DELEMST,DELEMSRS,DELEMSNS,DELEMSTS,DMIDSSN,DMIDSST,DMIDSSRS,DMIDSSNS,DMIDSSTS,DJRSN,DJRST,DJRSRS,DJRSNS,DJRSTS,DHIGHSN,DHIGHST,DHIGHSRS,DHIGHSNS,DHIGHSTS,DTOTSCHL,DTOTTECH,DTOTRES,DTOTNRES,DTOTSTU,PRESTITL,PRESLN,PRESFN,PRESMI,SECTITL,SECLN,SECFN,SECMI,SDLNAME,SDFNAME,SDMINIT,SDSALUAT,DIEMAIL,URL,MO HOUSE DISTRICTS,MO SENATE DISTRICTS,US CONGRESSIONAL DISTRICTS,Location 1,Location 2
21150,,Keytesville R-III  (021-150),Chariton ,I,   A,14666488.00,4.05,6602883787,6602883110,1,18,90,0,90,0,0,0,0,0,0,0,0,0,0,1,14,72,0,72,2,32,162,0,162,Mr.,Atterbury ,Bryan ,,Mr.,Byrd ,Darin ,,Bottoms ,Tracy ,W,Mr.,bottomst@keytesville.k12.mo.us,http://keytesville.k12.mo.us,"039, 048",18 ,6,"27247 Highway 5
Keytesville 652612401
(39.444737273780476, -92.92928049144648)",
100062,,Scott Co. Central  (100-062),Scott ,E,   A,15490832.00,4.3686,5734712686,5734712029,1,22,187,0,187,0,0,0,0,0,0,0,0,0,0,2,23,178,0,178,3,45,365,0,365,Mr.,Johnson ,Steve ,,Mrs.,Pobst ,Melette ,,Mcferren ,Alvin ,,Mr.,AMCFERREN@SCOTTCENTRAL.K12.MO.US,http://scottcentral.k12.mo.us/,"148, 151","25 , 27 ",8,"20794 US Highway 61
Sikeston 638017201
(36.98038320979562, -89.62142898104904)",
29002,,Dadeville R-II  (029-002),Dade ,C,   A,10058980.00,3.43,4179952201,4179952110,1,15,59,0,59,0,0,0,0,0,0,0,0,0,0,1,17,88,0,88,2,32,147,0,147,Mr.,Bergmann ,Kenny ,,Mrs.,Arnold ,Tessa ,,Bushey ,Matt ,D,Mr.,mbushey@dadeville.k12.mo.us,http://bearcats.dadeville.k12.mo.us,"127, 128, 130","20 , 28 , 32 ",4,"17 Bearcat Trail
Dadeville 656350188
(37.4820067105191, -93.67431980674895)",P.O. Box 188
115918,,Grand Center Arts Academy  (115-918),St. Louis City ,A,,,,3145331791,3145331792,0,0,0,0,0,1,34,343,0,343,0,0,0,0,0,0,0,0,0,0,1,34,343,0,343,,Henry ,Sonya ,,Mr.,Siliceo-Roman ,Armendo ,,Glickert,Lynne,,Mrs.,LGLICKERT@grandcenterartsacademy.org,http://www.grandcenterartsacademy.org,,,,"711 N. Grand Avenue
St. Louis 631031009
(38.640262710831855, -90.23075204120204)",
35093,,Campbell R-II  (035-093),Dunklin ,E,   A,50288995.00,4.0357,5732462133,5732463212,1,32,341,0,341,0,0,0,0,0,0,0,0,0,0,1,29,269,1,270,2,61,610,1,611,Mr.,Fieser ,Steven ,A,Mrs.,Lawrence ,Carol ,E,Thornton ,Jay ,W,Mr.,JAY@CAMPBELL.K12.MO.US,http://www.campbell.k12.mo.us,"150, 151, 152",25 ,8,"801 S State Route 53
Campbell 639331399
(36.49235890659653, -90.06504777662893)",
22090,,Sparta R-III  (022-090),Christian ,C,   A,36606067.00,4.1,4176344284,4176343156,1,34,380,0,380,1,26,202,0,202,0,0,0,0,0,1,25,211,0,211,3,85,793,0,793,Mr.,Loveland ,Gerald ,C,Mrs.,Braden ,Betty ,R,Hyatt ,Jeffrey ,L,Dr.,JHYATT@SPARTA.K12.MO.US,http://www.sparta.k12.mo.us,"140, 155","20 , 33 ",7,"113 Division St.
Sparta 657530160
(37.00492854088225, -93.08572732749252)",P.O. Box 160
39141,,Springfield R-XII  (039-141),Greene ,C,   A,3205529000.00,3.6999,4175230026,4175230196,38,1060,12895,0,12895,9,381,5063,0,5063,0,0,0,0,0,5,595,7197,0,7197,52,2036,25155,0,25155,Dr.,Prater ,Tom ,,Mrs.,Looten ,Kathy ,,Ridder ,Norman ,,Dr.,NRIDDER@SPSMAIL.ORG,http://springfieldpublicschoolsmo.org,"130, 131, 132, 133, 134, 135, 136, 137, 139, 140","20 , 30 ",7,"1359 E. St. Louis
Springfield 658023409
(37.20948746620803, -93.27197664629085)",
27055,Y,Blackwater R-II  (027-055),Cooper ,D,   A,7920262.00,3.3698,6608462461,6608462431,1,18,121,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,121,1,122,Mrs.,Waller ,Deb ,,Mr.,Danner ,Mark ,,Reeves ,Cynthia ,G,Ms.,REEVESC@BLACKWATER.K12.MO.US,http://blackwater.k12.mo.us,048,"19 , 21 , 28 ",6,"300 Doddridge
Blackwater 653220117
(38.98158745833528, -92.99371803596217)",P.O. Box 117
26005,,Cole Co. R-V  (026-005),Cole ,D,   A,60689713.00,3.65,5734984000,5734984090,1,30,323,0,323,0,0,0,0,0,0,0,0,0,0,1,33,354,0,354,2,63,677,0,677,Mr.,Hogg ,Todd ,,Mrs.,Schulte ,Karen ,D,Blythe ,Mark ,R,Mr.,blythe@coler-v.k12.mo.us,http://www.coler-v.k12.mo.us,"059, 062, 124",06 ,4,"14803 Highway 17
Eugene 650322142
(38.372445748397354, -92.39748489821983)",
96089,,Ferguson-Florissant R-II  (096-089),St. Louis ,A,   A,987569590.00,5.04,3145069000,3145069010,18,595,6655,0,6655,3,175,1757,0,1757,0,0,0,0,0,3,327,3627,0,3627,24,1097,12039,0,12039,Mr.,Morris ,Paul ,T,Mr.,Henson ,Charles ,,Mccoy ,Art ,,Dr.,amccoy@fergflor.org,http://fergflor.org,"068, 070, 073, 074, 075, 085","13 , 14 ",1,"1005 Waterford Drive
Florissant 630333649
(38.79294375495109, -90.30091115427504)",
100063,,Sikeston R-6  (100-063),Scott ,E,   A,222896585.00,3.8425,5734722581,5734722584,4,143,1455,0,1455,1,52,522,0,522,1,55,532,0,532,1,121,1002,0,1002,7,371,3511,0,3511,Mr.,Crumpecker ,Scott ,,Mr.,Nickell ,Bryan ,,Williams ,Thomas ,A,Mr.,TWILLIAMS@SIKESTON.K12.MO.US,http://www.sikestonr6.org,"148, 149, 151","25 , 27 ",8,"1002 Virginia
Sikeston 638013347
(36.87385429227848, -89.57028605790826)",
5122,,Exeter R-VI  (005-122),Barry ,C,   A,13029356.00,4.086,4178352922,4178353201,1,28,245,0,245,0,0,0,0,0,0,0,0,0,0,1,22,110,0,110,2,50,355,0,355,Mr.,O'Neill ,Eric ,,Mrs.,Stephens ,Janice ,,Raney,Ernest,G,Dr.,ERANEY@EXETER.K12.MO.US,http://www.exeter.k12.mo.us/,"158, 159",29 ,7,"101 Locust St.
Exeter 656479700
(36.67397133671239, -93.93869710093105)",
36126,,Meramec Valley R-III  (036-126),Franklin ,G,   A,317946945.00,4.3092,6362711400,6362711406,7,136,1442,0,1442,2,68,749,0,749,0,0,0,0,0,1,75,989,4,993,10,279,3180,4,3184,Mr.,Richardson ,Tim ,,Mr.,Wells ,Mike ,,George ,Randy ,,Mr.,rgeorge@mvr3.k12.mo.us,http://www.mvr3.k12.mo.us/,"109, 110, 111, 119","22 , 26 ",9,"126 N Payne St.
Pacific 630691224
(38.48242114493988, -90.75562156016846)",
68070,,Moniteau Co. R-I  (068-070),Moniteau ,D,   A,80581646.00,3.9641,5737962145,5737966123,1,51,579,2,581,1,28,286,2,288,0,0,0,0,0,1,42,400,39,439,3,121,1265,43,1308,Mr.,Burger ,Steven ,,Ms.,Oliver ,Susan ,L,Sanders ,Dwight ,,Mr.,DWIGHT.SANDERS@CALIFORNIAK12.ORG,http://www.californiak12.org/home.asp,"050, 058, 059","06 , 19 ",4,"211 S Owen St. Ste. B
California 650181134
(38.63209715924573, -92.56770344934233)",
50014,,Desoto 73  (050-014),Jefferson ,A,   A,181670194.00,4.1459,6365861000,6365861009,3,131,1729,4,1733,0,0,0,0,0,1,41,436,2,438,1,71,800,108,908,5,243,2965,114,3079,Mr.,Russell ,Jeff ,,Mrs.,Huskey ,Elaine ,,Burkeen ,Trisha ,L,Dr.,burkeen.trish@desoto.k12.mo.us,http://www.desoto.k12.mo.us,"114, 115, 118",03 ,3,"610 Vineland School Road
Desoto 630202561
(38.12602610651515, -90.56777607147843)",
50003,,Hillsboro R-III  (050-003),Jefferson ,A,   A,242282008.00,4.7103,6367890060,6367893216,3,146,1817,0,1817,0,0,0,0,0,1,44,594,0,594,2,96,1156,1,1157,6,286,3567,1,3568,Dr.,Paul ,Maynard ,,Mrs.,Johnston ,Beth ,A,Schonhoff ,Beverly ,K,Dr.,SCHONHOFF_BEVERLY@MAIL.HILLSBORO.K12.MO.US,http://www.hillsboro.k12.mo.us,"111, 112, 114, 115, 118","03 , 22 ",3,"20 Hawk Drive
Hillsboro 630505202
(38.23541416336904, -90.55873658062589)",
31122,,Tri-County R-VII  (031-122),Daviess ,H,   A,15835504.00,4.1351,6606846118,6606846218,1,16,91,0,91,0,0,0,0,0,0,0,0,0,0,1,17,70,0,70,2,33,161,0,161,Mr.,Landes ,Greg ,,Mrs.,Eckert ,Stephanie ,,Fox ,Phillip ,,Mr.,PFOX@TRICO.K12.MO.US,http://tricounty.k12.mo.us,"002, 007","12 , 21 ",6,"904 W Auberry Grove
Jamesport 646489219
(39.975102389403524, -93.80904561098659)",
115917,,Shearwater Education Foundatn  (115-917),St. Louis City ,A,,,,3142891203,3142891225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,64,0,64,1,12,64,0,64,Ms.,Stauffer ,Jody ,,Mr.,Garry ,William ,,Krauss,Stephanie,,Ms.,SKRAUSS@SHEARWATEREDUCATION.ORG,http://www.shearwatereducation.org,,,,"4470 Finney Avenue
St. Louis 631132811
(38.65328590064735, -90.25013035096828)",
82105,Y,Boncl R-X  (082-105),Pike ,I,   A,14249880.00,4.05,5737545412,5737547981,1,9,38,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,38,3,41,Mr.,Keely ,Kevin ,,Mrs.,Henson ,Lori ,,Huckstep-Spangler,Cassandra,,Mrs.,cjhspangler@gmail.com,,040,18 ,9,"23526 Pike 9247
Louisiana 633534103
(39.379611049306526, -91.03469443027461)",
73105,Y,Westview C-6  (073-105),Newton ,C,   A,7950290.00,2.75,4177762425,4177761994,1,18,147,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,147,0,147,Mrs.,Campbell ,Nikki ,,Ms.,Manz ,Sue ,L,Fitch,Mark,,Mr.,mfitch@westview.k12.mo.us,http://www.westviewelementary.org,159,32 ,7,"7441 Westview Road
Neosho 648509564
(36.83750628369179, -94.50403590152138)",
114115,,Mansfield R-IV  (114-115),Wright ,C,   A,35107029.00,4.1551,4179248458,4179243427,1,34,393,0,393,0,0,0,0,0,1,26,166,0,166,1,27,193,0,193,3,87,752,0,752,Mr.,Tripp ,David ,,Mr.,Roy ,Randall ,,Moore ,Jerry ,n,Mr.,nmoore@mansfieldschool.net,http://mansfieldschool.net,"141, 155",33 ,8,"316 W Ohio St.
Mansfield 657049301
(37.11135433322573, -92.58330022841521)",
110014,,Kingston K-14  (110-014),Washington ,G,   A,30428837.00,3.9394,5734384982,5734388813,2,40,368,0,368,1,15,159,0,159,0,0,0,0,0,1,34,217,0,217,4,89,744,0,744,Mrs.,Eckhoff ,Brenda ,,Mr.,Pratt ,Dennis ,E,Milner ,Gary ,W,Dr.,MILNER.GARY@KINGSTON.K12.MO.US,http://www.kingston.k12.mo.us/,"115, 118",03 ,8,"10047 Diamond Road
Cadet 636309581
(38.067547428660625, -90.74646880169166)",
1091,,Kirksville R-III  (001-091),Adair ,I,   A,206259366.00,4.1228,6606657774,6606261448,2,118,1326,0,1326,1,49,549,0,549,0,0,0,0,0,1,81,780,0,780,4,248,2655,0,2655,Dr.,Chamberlain ,Neal ,,Mr.,Copeland ,Matt ,,Williams ,Patrick ,F,Mr.,MARY_M@KIRKSVILLE.K12.MO.US,http://kirksville.k12.mo.us/,"003, 004, 006","12 , 18 ",9,"1901 E Hamilton St.
Kirksville 635013904
(40.182607215271055, -92.56194665561527)",
65096,,North Mercer Co. R-III  (065-096),Mercer ,H,   A,13399284.00,4.8671,6603824214,6603824239,1,18,123,2,125,0,0,0,0,0,0,0,0,0,0,1,17,91,0,91,2,35,214,2,216,Mr.,Noe ,Mike ,,Mrs.,Campbell ,Tami ,,Owens ,Daniel ,J,Mr.,dowenshoops@northmercer.k12.mo.us,http://www.northmercer.k12.mo.us,003,12 ,6,"400 Main St.
Mercer 646610648
(40.51124877901395, -93.52444555667014)",P.O. Box 648
13058,Y,Cowgill R-VI  (013-058),Caldwell ,H,   A,3793010.00,3.8929,6602554415,6602554224,1,9,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,20,0,20,Mrs.,Farmer ,Karen ,,Mrs.,Way ,Georgia ,,Vassmer ,Betty ,,Mrs.,BVASSMER@COWGILLR6.ORG,http://www.cowgillr6.org,"008, 039",21 ,6,"341 E 6th St.
Cowgill 646370049
(39.55916898442192, -93.92408740125482)",P.O. Box 49
19152,,Belton 124  (019-152),Cass ,B,   A,297333544.00,5.4559,8164897000,8164897005,7,218,2983,0,2983,1,49,731,0,731,0,0,0,0,0,3,117,1366,1,1367,11,384,5080,1,5081,Mr.,West ,John ,,Mrs.,Eslick ,Kristin ,,Underwood ,Andrew ,,Dr.,AUNDERWOOD@bsd124.org,http://www.beltonschools.org,"037, 056","07 , 31 ",5,"110 W Walnut
Belton 640124808
(38.80918350548632, -94.53609966355612)",
64074,,Palmyra R-I  (064-074),Marion ,I,   A,117745453.00,4.04,5737692066,5737694218,1,39,464,0,464,1,30,362,0,362,0,0,0,0,0,1,41,365,1,366,3,110,1191,1,1192,Mr.,Powell ,Dudley ,,Mr.,Sutter ,Roger ,D,Churchwell ,Eric ,L,Mr.,CHURCHWELLE@PALMYRA.K12.MO.US,http://www.palmyra.k12.mo.us/,"004, 005, 040",18 ,9,"1703 S Main
Palmyra 634610151
(39.783293234694405, -91.52336307632257)",P.O. Box 151
89089,,Richmond R-XVI  (089-089),Ray ,F,   A,104839353.00,4.0946,8167766912,8167765554,2,69,746,0,746,1,31,397,0,397,0,0,0,0,0,1,41,444,0,444,4,141,1587,0,1587,Mr.,Minnick ,Chris ,,Mrs.,Green ,April ,E,Kizzire ,Damon ,,Dr.,DKIZZIRE@RICHMOND.K12.MO.US,http://www.richmond.k12.mo.us/,"039, 053",21 ,4,"1017 E Main St.
Richmond 640852202
(39.27819454488137, -93.95990926713654)",
64075,,Hannibal 60  (064-075),Marion ,I,   A,287587863.00,3.4199,5732211258,5732212994,5,157,1813,0,1813,1,74,812,0,812,0,0,0,0,0,2,98,1039,0,1039,8,329,3664,0,3664,Dr.,Jackson ,David ,,Mr.,Ruhl ,Dana ,W,Janes ,Jill ,J,Dr.,jjjanes@hannibal.k12.mo.us,http://www.hannibal.k12.mo.us/,"005, 040",18 ,9,"4650 Mcmasters Avenue
Hannibal 634012244
(39.724829692028685, -91.39181211851742)",
33093,Y,Dent-Phelps R-III  (033-093),Dent ,G,   A,29407680.00,2.75,5737294680,5737298644,1,25,284,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,284,0,284,Mr.,Case ,Joe ,,Mrs.,Polk ,Denise ,,Brooker ,Victoria ,,Mrs.,vbrooker@dentphelps.k12.mo.us,http://dentphelps.k12.mo.us,"120, 121, 142, 143","16 , 33 ",8,"27870 Highway C
Salem 655609534
(37.71728683403369, -91.64738745185468)",
32058,,Stewartsville C-2  (032-058),DeKalb ,H,   A,14068761.00,4.5616,8166693792,8166698125,1,17,112,5,117,0,0,0,0,0,0,0,0,0,0,1,17,102,9,111,2,34,214,14,228,Mr.,Hovenga ,Brandon ,,Mrs.,Rapp ,Tammy ,R,Perry ,Paul ,A,Mr.,tony.perry.62@gmail.com,http://www.stewartsville.k12.mo.us,"002, 008",12 ,6,"902 Buchanan
Stewartsville 644906136
(39.75283694471889, -94.50157143570206)",
97122,Y,Hardeman R-X  (097-122),Saline ,F,   A,7902351.00,4.8221,6608373400,6608373411,1,10,57,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,57,1,58,Mr.,Borgman ,Mark ,,Mrs.,Forrester ,Kristy ,,Vaillancourt ,Paul ,,Mr.,kforrester@hardeman.k12.mo.us,http://www.hardemanschool.com,048,"19 , 21 ",4,"21051 Highway D
Marshall 653409274
(39.090257612523715, -93.01031890186601)",
96093,,Lindbergh Schools  (096-093),St. Louis ,A,   A,1174039630.00,3.995,3147292480,3147292482,5,204,2474,26,2500,2,125,1312,22,1334,0,0,0,0,0,2,152,1968,26,1994,9,481,5754,74,5828,Dr.,Lenz ,Victor ,,Mr.,Bee ,Donald ,L,Simpson ,Jim ,B,Dr.,JSIMPSON@LINDBERGHSCHOOLS.WS,http://www.lindberghschools.ws,"090, 091, 092, 094, 096, 097","01 , 15 , 22 ",2,"4900 S Lindbergh Boulevard
St. Louis 631263235
(38.52818134421119, -90.37523341025468)",
115915,,Carondelet Leadership Academy  (115-915),St. Louis City ,A,,,,3148028744,3148028721,1,28,302,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,302,0,302,Mr.,Bredehoft ,Joseph ,,Mrs.,Kindler ,Lori ,,Coffin,Patrice,T,Mrs.,pcoffin@aqs.org,http://www.stlclacademy.org,,,,"7604 Michigan Avenue
St. Louis 631113332
(38.548705020380076, -90.26140668034209)",
27059,,Pilot Grove C-4  (027-059),Cooper ,D,   A,16871018.00,4.7525,6608346915,6608346925,1,16,129,0,129,1,15,61,0,61,0,0,0,0,0,1,21,105,7,112,3,52,295,7,302,Mr.,Wessing ,Todd ,,Mrs.,Vollrath ,Linda ,,Leverton ,Dj ,,Mr.,DLEVERTON@PILOTGROVE.K12.MO.US,http://schoolweb.missouri.edu/pilotgrovec4.k12.mo.us/,048,"19 , 28 ",6,"107 School St.
Pilot Grove 652761038
(38.87585355101446, -92.90801831601694)",
5121,,Southwest R-V  (005-121),Barry ,C,   A,33752862.00,3.6,4178265410,4178265603,1,30,337,0,337,1,30,242,0,242,0,0,0,0,0,1,24,253,0,253,3,84,832,0,832,Mr.,Dalton ,Danny ,,Mrs.,Brooks ,Judy ,K,Walker ,Robert ,L,Mr.,bwalker@swr5.k12.mo.us,http://www.swr5.k12.mo.us/,"158, 159",29 ,7,"529 E Pineville Road
Washburn 657720297
(36.595890000023644, -93.99579999967011)",
54039,,Lafayette Co. C-1  (054-039),Lafayette ,F,   A,64091914.00,4.8862,6605843631,6605842622,1,38,481,0,481,1,24,229,0,229,0,0,0,0,0,1,29,332,0,332,3,91,1042,0,1042,Dr.,Cole ,Richard ,,Mrs.,Lewis ,Kim ,,Figg ,David ,J,Mr.,FIGGD@HUSKERS.K12.MO.US,http://www.huskers.k12.mo.us,053,21 ,4,"805 W 31st St.
Higginsville 640371671
(39.064592435470225, -93.72805581861047)",
55108,,Mt. Vernon R-V  (055-108),Lawrence ,C,   A,104908219.00,3.32,4174667573,4174667058,2,62,676,7,683,1,30,339,0,339,0,0,0,0,0,1,47,493,0,493,4,139,1508,7,1515,Mr.,Ingle ,Gene ,,Mr.,Wendler ,Steve ,C,Cruzan ,James ,R,Mr.,cruzanruss@mtvernon.k12.mo.us,http://www.mtvernon.k12.mo.us,"130, 157","20 , 29 ",7,"731 S Landrum St.
Mt Vernon 657121723
(37.09864466291498, -93.82306256985065)",
