id,title,location,sub_category,avatar,description,details,provider,distance,ages,price,campus,camp_type,topics,category,relevance,affordability
10,San Francisco Sabre Fencing,"Main Location - San Francisco, CA",Fencing Sports After School Care,https://images.activityhero.com/provider_photo/110206/tile/5819660f-7ba7-4a55-9984-258bafb6290d.jpg,Fencing is a sport that has maintained its popularity over centuries. It is one of the original sports of the modern Olympic Games and is gaining in…read more >,https://www.activityhero.com/biz/san-francisco-sabre-fencing,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",62.3,"5,17",12,m,Sports,"[['sport', 28.24], ['offer', 24.12], ['variety', 11.76], ['facility', 8.24], ['place', 5.88], ['fence', 4.71], ['staff', 4.71], ['craft', 4.12], ['entertainment', 4.12], ['wide', 4.12]]",Personal Development,86.48,36.72
11,Aventuras,Multiple Locations,Flexible Booking Science & Technology Spanish Visual Arts,https://images.activityhero.com/provider_photo/135213/tile/f57d7d17-ef93-4721-97dd-7d9a42a8b245.jpg,"Our Spanish Immersion programs are creative, interactive, and fun! At Aventuras, we know that kids are natural learners. We strive to inspire them and…read more >",https://www.activityhero.com/biz/aventuras,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",74,"5,17",16,f,Arts,"[['language', 17.11], ['school', 13.16], ['development', 12.5], ['preschool', 12.5], ['teach', 8.55], ['immersion', 8.55], ['spanish', 8.55], ['english', 6.58], ['skill', 6.58], ['valley', 5.92]]",Arts and Design,75.32,46.46
12,Moving Arts Academy of Dance,Multiple Locations,Flexible Booking Dance Ballet Online Course,https://images.activityhero.com/provider_photo/123573/tile/1cad8e5b-4252-4a04-ad3c-7fd4baa70064.jpeg,Moving Arts Academy of Dance provides a nurturing environment for students to excel technically and artistically. We are located in the Mission Terrace…read more >,https://www.activityhero.com/biz/moving-arts-studio,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",92.1,"5,17",8,f,Arts,"[['dance', 36.9], ['training', 12.83], ['ballet', 9.63], ['open', 8.56], ['space', 8.02], ['meet', 5.88], ['natural', 5.35], ['toddler', 4.81], ['joy', 4.81], ['west', 3.21]]",Arts and Design,79.07,41.7
13,"Wheel Kids Bicycle Club, Inc.",Multiple Locations,Best of ActivityHero 2019 Best of ActivityHero 2015 Best of ActivityHero 2016 Fitness Adventure/Outdoors Play/Outdoor,https://images.activityhero.com/provider_photo/4484/tile/WKBC-08.jpg,"Wheel Kids is an adventure and exploration bike camp that uses bicycling as a means of transportation, personal development and fun.With locations in San…read more >",https://www.activityhero.com/biz/wheel-kids-bicycle-club-inc,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",8,"5, 18",120,m,Arts,"[['offer', 27.5], ['locate', 20.62], ['small', 10.62], ['write', 9.38], ['writing', 6.25], ['begin', 5.62], ['specialize', 5.62], ['fashion', 5.0], ['kindergarten', 5.0], ['read', 4.38]]",Arts and Design,49.36,43.11
14,Dance Mission Youth Program,Multiple Locations,Best of ActivityHero 2015 Best of ActivityHero 2016 Contemporary Hip Hop Dance,https://images.activityhero.com/provider_photo/6674/tile/Dance_Brigade_2013_-_0147.jpg,"Dance Brigade’s Youth Program provides high-quality dance classes to the youth of San Francisco in a noncompetitive, socially aware environment. We…read more >",https://www.activityhero.com/biz/2591-dance-mission-youth-program-san-francisco-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",13.9,"5, 18",1999,m,Arts,"[['dance', 36.9], ['training', 12.83], ['ballet', 9.63], ['open', 8.56], ['space', 8.02], ['meet', 5.88], ['natural', 5.35], ['toddler', 4.81], ['joy', 4.81], ['west', 3.21]]",Arts and Design,48.62,92.76
15,Tech Rocks!,Multiple Locations,Best of ActivityHero 2015 Best of ActivityHero 2016 Science & Technology Programming Computers,https://images.activityhero.com/provider_photo/32949/tile/33dc5bff-c8a2-4eef-a62d-62ac7579413c.JPG,"At Tech Rocks!, we make tech fun!
We engage our students with technology and show them how they can be a part of what's to come.  In our experience,…read more >",https://www.activityhero.com/biz/tech-rocks,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",24.9,",19",25,m,STEM,"[['kid', 47.29], ['tech', 9.36], ['technology', 8.87], ['teen', 8.37], ['parent', 8.37], ['robotic', 6.4], ['call', 3.45], ['business', 2.96], ['matter', 2.46], ['unique', 2.46]]",Computer Science,38.95,88.89
16,Always Learning and Growing,Multiple Locations,Nature Programs Hiking Adventure/Outdoors,https://images.activityhero.com/provider_photo/135063/tile/d6eff59c-8ec1-4c0a-9d2e-0a956f10f9ad.jpeg,Always Learning and Growing provides outdoor camps and classes for children and families with the goal of giving children the developmental benefits of a…read more >,https://www.activityhero.com/biz/always-learning-and-growing,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",25.6,"5,19",12,m,Sports,"[['adult', 27.78], ['family', 26.11], ['martial_art', 15.0], ['large', 6.67], ['self_defense', 5.56], ['part', 5.56], ['passion', 3.33], ['baby', 3.33], ['core', 3.33], ['mountain', 3.33]]",Personal Development,54.62,11.54
17,Maker Studio SF,Multiple Locations,Coding Building Programming,https://images.activityhero.com/provider_photo/100859/tile/25e52bcd-f2d2-42af-a9a0-3fae69a7e839.jpg,Founded in 2017 by a group of designers and engineers with a single mission to get more kids into STEM through creativity first. We started with our Fashion…read more >,https://www.activityhero.com/biz/maker-studio-sf-58963,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",26,"5, 18",16,"m,f",Arts,"[['offer', 27.5], ['locate', 20.62], ['small', 10.62], ['write', 9.38], ['writing', 6.25], ['begin', 5.62], ['specialize', 5.62], ['fashion', 5.0], ['kindergarten', 5.0], ['read', 4.38]]",Arts and Design,82.78,67.22
18,Chaparral Ranch,Multiple Locations,Adventure/Outdoors Horseback Riding Animals,https://images.activityhero.com/provider_photo/7017/tile/download_(1).png,"The spirit of the West meets Silicon Valley at Chaparral Ranch. Surrounded by natural trails and open space preserves, the ranch overlooks stunning Bay…read more >",https://www.activityhero.com/biz/chaparral-ranch,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",28.2,",19",8,m,Arts,"[['dance', 36.9], ['training', 12.83], ['ballet', 9.63], ['open', 8.56], ['space', 8.02], ['meet', 5.88], ['natural', 5.35], ['toddler', 4.81], ['joy', 4.81], ['west', 3.21]]",Arts and Design,99.84,85.3
19,3 O'Clock Rock,Multiple Locations,History Hip Hop Music,https://images.activityhero.com/provider_photo/108408/tile/6c9e0a8f-5d60-4925-ac1b-a03b2bbab344.jpg,Three O’Clock Rock is an after-school and Summer music program for kids and adults. The program offers a unique approach to teaching music and their own…read more >,https://www.activityhero.com/biz/16700-three-o-clock-rock-oakland-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",32.1,"12,20",120,f,Arts,"[['music', 38.76], ['lesson', 17.7], ['rock', 8.13], ['group', 6.7], ['private', 6.7], ['piano', 5.74], ['movement', 5.26], ['voice', 4.78], ['give', 3.35], ['act', 2.87]]",Arts and Design,30.59,38.8
20,Sweet Arts Kid Studio,Multiple Locations,Drawing and Painting Online Course Clay,https://images.activityhero.com/provider_photo/126473/tile/eef9a0ec-fc08-4ed2-a1d0-361250b6ee5b.JPG,Updated for COVID-19​smaller camp size - 10 kids maximumSan Francisco Department of Public Health requires all summer camps to be a minimum of 3-week…read more >,https://www.activityhero.com/biz/sweet-arts-llc,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",48.4,"5,19",3999,"m,f",Sports,"[['summer', 43.31], ['camp', 37.58], ['break', 4.78], ['baseball', 4.14], ['spring', 3.18], ['california', 2.23], ['holiday', 1.27], ['enrich', 1.27], ['winter', 1.27], ['custom', 0.96]]",Personal Development,82.08,52.48
21,Golden Gate Skateboarding,Multiple Locations,Skateboarding Yoga,https://images.activityhero.com/provider_photo/135056/tile/e67c5aa8-9378-4263-988e-cfdfdab8af6c.jpg,"Wesley has over 10 years of professional skateboarding instruction experience. Starting out teaching with SF Park& Rec. ""Shred and Butter"" program, and has…read more >",https://www.activityhero.com/biz/golden-gate-skateboarding,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",63.3,"5,26",5999,"m,f",STEM,"[['teach', 37.89], ['professional', 13.68], ['teacher', 10.53], ['instruction', 10.0], ['run', 6.84], ['coach', 5.26], ['parent', 4.21], ['background', 4.21], ['basic', 3.68], ['video', 3.68]]",Computer Science,38.65,6.78
22,San Francisco Rock Project,Multiple Locations,Best of ActivityHero 2015 Online Course Music Performing Arts,https://images.activityhero.com/provider_photo/114664/tile/f8abe8cd-fdf3-431e-8832-2ab04f5454fb.jpg,"The San Francisco Rock Project is a nonprofit school of rock for kids ages 7–17. All year round, students have one-on-one lessons on guitar, bass, drums,…read more >",https://www.activityhero.com/biz/13305-san-francisco-rock-project-san-francisco-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",67.3,"5,18",141,"m,f",Arts,"[['music', 38.76], ['lesson', 17.7], ['rock', 8.13], ['group', 6.7], ['private', 6.7], ['piano', 5.74], ['movement', 5.26], ['voice', 4.78], ['give', 3.35], ['act', 2.87]]",Arts and Design,57.59,77.83
23,Creative IQ Art Studio,"Creative IQ - San Francisco, CA",Best of ActivityHero 2019 Crafts Drawing and Painting Visual Arts,https://images.activityhero.com/provider_photo/109155/tile/3989815f-852d-4ab8-8f1d-7e55cc36f11f.jpg,"Creative IQ Art Studio offers art classes, camps, parties and workshops for kids, teens and adults!With an emphasis on drawing and painting, our programs…read more >",https://www.activityhero.com/biz/56653-creative-iq-art-studio-san-francisco-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",75,"5,18",1,"m,f",Arts,"[['art', 53.8], ['studio', 14.85], ['creative', 9.24], ['artist', 7.92], ['paint', 3.3], ['draw', 2.97], ['learner', 2.64], ['fine', 2.31], ['wellness', 1.65], ['technical', 1.32]]",Arts and Design,47.39,79.84
24,STEMful,"Main Location - San Francisco, CA",Engineering Math Science & Technology,https://images.activityhero.com/provider_photo/100850/tile/d3eee2f3-d7ab-4c6d-8bfd-dde5773c87ed.jpg,"STEMful is dedicated to cultivating a profound interest in science, technology, engineering and math (STEM) in children at a young age. We offer classes and…read more >",https://www.activityhero.com/biz/stemful-58754,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",75,"5,18",101,"m,f",STEM,"[['young', 23.33], ['science', 17.14], ['girl', 15.24], ['grade', 11.43], ['provide', 10.0], ['boy', 9.52], ['lab', 3.81], ['woman', 3.81], ['spark', 3.33], ['exceptional', 2.38]]",Computer Science,64.13,67.32
25,Secret Agent Squad by Brain-Bounce,Multiple Locations,Best of ActivityHero 2017 Academics Martial Arts Sports,https://images.activityhero.com/provider_photo/28298/tile/0b900b01-ba8f-4f64-80b4-4d8d9ad59cca.jpg,Science specialists guide the agents as they explore fingerprinting and the fun elements of forensic and GPS tracking technology used to catch real…read more >,https://www.activityhero.com/biz/52796-secret-agent-squad-by-brain-bounce-san-francisco-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",93.1,"5,18",46,"m,f",STEM,"[['enrichment', 27.84], ['math', 27.84], ['explore', 17.05], ['discover', 6.82], ['summer', 4.55], ['resource', 3.98], ['present', 3.41], ['visual', 2.84], ['choose', 2.84], ['water', 2.84]]",Computer Science,96,67.88
26,MoonSchool at 42nd Street Moon,Multiple Locations,Music Performing Arts Drama/Theater,https://images.activityhero.com/provider_photo/121830/tile/798aaecf-6d8a-4ef5-ac37-a7a8ea14ddf5.jpg,MoonSchool at 42nd Street Moon offers year-round technique and performance-based classes for youth! Whether your student is brand new to theatre and looking…read more >,https://www.activityhero.com/biz/moonschool-at-42nd-street-moon,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",9,"5, 19",111,"m,f",Arts,"[['mission', 39.26], ['theatre', 9.82], ['promote', 9.2], ['performance', 7.36], ['gymnastic', 7.36], ['healthy', 6.75], ['offer', 6.13], ['training', 4.91], ['lead', 4.91], ['chef', 4.29]]",Arts and Design,52.02,70.57
27,Camp Brainy Bunch,Multiple Locations,Leadership Public Speaking Science & Technology,https://images.activityhero.com/provider_photo/102029/tile/63094476-0226-4410-bd59-6f2b1f5e20f8.jpg,Camp Brainy Bunch is part of the larger Education Unlimited Inc. family of academic summer programs devoted to giving you the best options for summer…read more >,https://www.activityhero.com/biz/camp-brainy-bunch,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",14.9,"5, 19",321,m,Sports,"[['adult', 27.78], ['family', 26.11], ['martial_art', 15.0], ['large', 6.67], ['self_defense', 5.56], ['part', 5.56], ['passion', 3.33], ['baby', 3.33], ['core', 3.33], ['mountain', 3.33]]",Personal Development,85.73,66.74
28,Planet Bee Foundation,Multiple Locations,Biology Science & Technology Environmental,https://images.activityhero.com/provider_photo/108835/tile/7aecdf40-761d-4603-89ce-136ca904c06c.jpg,"Planet Bee Foundation is dedicated to creating environmental stewards of all ages, who will go on to have a positive impact on our interconnected world.We…read more >",https://www.activityhero.com/biz/planet-bee-foundation,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",25.9,",20",541,m,STEM,"[['design', 29.56], ['game', 18.87], ['age', 17.61], ['programming', 8.18], ['computer', 6.92], ['offering', 5.66], ['virtual', 4.4], ['kid', 3.77], ['provide', 2.52], ['support', 2.52]]",Computer Science,62.4,8.83
29,Girls Leading Girls,Multiple Locations,Girls Only Leadership Soccer,https://images.activityhero.com/provider_photo/101537/tile/eb8b77dd-8893-4dee-89e3-58c45b31a003.JPG,Girls Leading Girls is a San Francisco based nonprofit organization that trains young women in leadership and life skills through soccer. Our programs focus…read more >,https://www.activityhero.com/biz/girls-leading-girls,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",26.6,"5,20",3000,f,STEM,"[['young', 23.33], ['science', 17.14], ['girl', 15.24], ['grade', 11.43], ['provide', 10.0], ['boy', 9.52], ['lab', 3.81], ['woman', 3.81], ['spark', 3.33], ['exceptional', 2.38]]",Math & Logic,89.09,78.49
